time_bucket,building,clientCount
1620991800000,03-Science Center,34
1620991800000,05-TNW-BIO,1
1620991800000,08-BK-City,2
1620991800000,19-Studuitzendbureau,13
1620991800000,20-Aula,32
1620991800000,21-BTUD,71
1620991800000,22-TNW-TN,127
1620991800000,23-CITG,39
1620991800000,25-GreenVillage,25
1620991800000,26-Bouwcampus,22
1620991800000,28- WNI,3
1620991800000,30-IKC_ISD-FMVG,46
1620991800000,30-O S,1
1620991800000,31-TBM,0
1620991800000,32-OCP-IO,11
1620991800000,32a- Learninglab,0
1620991800000,33-Pulse,36
1620991800000,34-3ME,38
1620991800000,35-Drebbelweg,1
1620991800000,36-ESP-Lab,6
1620991800000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,37
1620991800000,36-EWI-HB,4
1620991800000,37-Sportcentrum,23
1620991800000,38-Cultureel Centrum,3
1620991800000,43-EGM,1
1620991800000,45-LSL,5
1620991800000,46-P E lab,43
1620991800000,50-TNW-RID,14
1620991800000,58-TNW-Zuid,87
1620991800000,60-LMS,2
1620991800000,61-Vliegtuighal,2
1620991800000,62-LR,6
1620991800000,63-Simona,0
1620991800000,64-HSL,0
1620991800000,66-Fellowship,0
1620991800000,Katalyse Labaratorium,4
1620991800000,Unknown,9
1620991800000,VLL-LAB(TNO),5
1620992100000,03-Science Center,37
1620992100000,05-TNW-BIO,3
1620992100000,08-BK-City,9
1620992100000,19-Studuitzendbureau,10
1620992100000,20-Aula,23
1620992100000,21-BTUD,83
1620992100000,22-TNW-TN,127
1620992100000,23-CITG,42
1620992100000,25-GreenVillage,28
1620992100000,26-Bouwcampus,22
1620992100000,28- WNI,3
1620992100000,30-IKC_ISD-FMVG,46
1620992100000,30-O S,1
1620992100000,31-TBM,3
1620992100000,32-OCP-IO,10
1620992100000,32a- Learninglab,0
1620992100000,33-Pulse,33
1620992100000,34-3ME,34
1620992100000,35-Drebbelweg,1
1620992100000,36-ESP-Lab,6
1620992100000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,35
1620992100000,36-EWI-HB,5
1620992100000,37-Sportcentrum,19
1620992100000,38-Cultureel Centrum,2
1620992100000,43-EGM,2
1620992100000,45-LSL,8
1620992100000,46-P E lab,38
1620992100000,50-TNW-RID,15
1620992100000,58-TNW-Zuid,90
1620992100000,60-LMS,1
1620992100000,61-Vliegtuighal,3
1620992100000,62-LR,6
1620992100000,63-Simona,0
1620992100000,64-HSL,0
1620992100000,66-Fellowship,0
1620992100000,Katalyse Labaratorium,2
1620992100000,Unknown,8
1620992100000,VLL-LAB(TNO),6
1620992400000,03-Science Center,42
1620992400000,05-TNW-BIO,1
1620992400000,08-BK-City,7
1620992400000,19-Studuitzendbureau,10
1620992400000,20-Aula,25
1620992400000,21-BTUD,100
1620992400000,22-TNW-TN,128
1620992400000,23-CITG,46
1620992400000,25-GreenVillage,27
1620992400000,26-Bouwcampus,21
1620992400000,28- WNI,3
1620992400000,30-IKC_ISD-FMVG,45
1620992400000,30-O S,0
1620992400000,31-TBM,3
1620992400000,32-OCP-IO,13
1620992400000,32a- Learninglab,0
1620992400000,33-Pulse,41
1620992400000,34-3ME,36
1620992400000,35-Drebbelweg,1
1620992400000,36-ESP-Lab,6
1620992400000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,35
1620992400000,36-EWI-HB,4
1620992400000,37-Sportcentrum,22
1620992400000,38-Cultureel Centrum,0
1620992400000,43-EGM,3
1620992400000,45-LSL,10
1620992400000,46-P E lab,44
1620992400000,50-TNW-RID,16
1620992400000,58-TNW-Zuid,88
1620992400000,60-LMS,2
1620992400000,61-Vliegtuighal,3
1620992400000,62-LR,6
1620992400000,63-Simona,0
1620992400000,64-HSL,0
1620992400000,66-Fellowship,0
1620992400000,Katalyse Labaratorium,2
1620992400000,Unknown,7
1620992400000,VLL-LAB(TNO),6
1620992700000,03-Science Center,39
1620992700000,05-TNW-BIO,2
1620992700000,08-BK-City,4
1620992700000,19-Studuitzendbureau,8
1620992700000,20-Aula,21
1620992700000,21-BTUD,116
1620992700000,22-TNW-TN,124
1620992700000,23-CITG,56
1620992700000,25-GreenVillage,26
1620992700000,26-Bouwcampus,22
1620992700000,28- WNI,4
1620992700000,30-IKC_ISD-FMVG,44
1620992700000,30-O S,0
1620992700000,31-TBM,3
1620992700000,32-OCP-IO,16
1620992700000,32a- Learninglab,0
1620992700000,33-Pulse,53
1620992700000,34-3ME,43
1620992700000,35-Drebbelweg,1
1620992700000,36-ESP-Lab,6
1620992700000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,34
1620992700000,36-EWI-HB,3
1620992700000,37-Sportcentrum,19
1620992700000,38-Cultureel Centrum,2
1620992700000,43-EGM,2
1620992700000,45-LSL,7
1620992700000,46-P E lab,44
1620992700000,50-TNW-RID,15
1620992700000,58-TNW-Zuid,90
1620992700000,60-LMS,0
1620992700000,61-Vliegtuighal,4
1620992700000,62-LR,6
1620992700000,63-Simona,0
1620992700000,64-HSL,0
1620992700000,66-Fellowship,0
1620992700000,Katalyse Labaratorium,1
1620992700000,Unknown,8
1620992700000,VLL-LAB(TNO),6
1620993000000,03-Science Center,42
1620993000000,05-TNW-BIO,1
1620993000000,08-BK-City,5
1620993000000,19-Studuitzendbureau,9
1620993000000,20-Aula,24
1620993000000,21-BTUD,128
1620993000000,22-TNW-TN,126
1620993000000,23-CITG,76
1620993000000,25-GreenVillage,26
1620993000000,26-Bouwcampus,21
1620993000000,28- WNI,3
1620993000000,30-IKC_ISD-FMVG,44
1620993000000,30-O S,0
1620993000000,31-TBM,3
1620993000000,32-OCP-IO,16
1620993000000,32a- Learninglab,0
1620993000000,33-Pulse,72
1620993000000,34-3ME,32
1620993000000,35-Drebbelweg,1
1620993000000,36-ESP-Lab,6
1620993000000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,31
1620993000000,36-EWI-HB,3
1620993000000,37-Sportcentrum,17
1620993000000,38-Cultureel Centrum,1
1620993000000,43-EGM,2
1620993000000,45-LSL,7
1620993000000,46-P E lab,45
1620993000000,50-TNW-RID,15
1620993000000,58-TNW-Zuid,90
1620993000000,60-LMS,1
1620993000000,61-Vliegtuighal,2
1620993000000,62-LR,6
1620993000000,63-Simona,0
1620993000000,64-HSL,0
1620993000000,66-Fellowship,0
1620993000000,Katalyse Labaratorium,4
1620993000000,Unknown,7
1620993000000,VLL-LAB(TNO),6
1620993300000,03-Science Center,42
1620993300000,05-TNW-BIO,1
1620993300000,08-BK-City,8
1620993300000,19-Studuitzendbureau,11
1620993300000,20-Aula,17
1620993300000,21-BTUD,142
1620993300000,22-TNW-TN,133
1620993300000,23-CITG,78
1620993300000,25-GreenVillage,26
1620993300000,26-Bouwcampus,23
1620993300000,28- WNI,3
1620993300000,30-IKC_ISD-FMVG,44
1620993300000,30-O S,0
1620993300000,31-TBM,3
1620993300000,32-OCP-IO,19
1620993300000,32a- Learninglab,0
1620993300000,33-Pulse,83
1620993300000,34-3ME,33
1620993300000,35-Drebbelweg,1
1620993300000,36-ESP-Lab,6
1620993300000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,33
1620993300000,36-EWI-HB,4
1620993300000,37-Sportcentrum,21
1620993300000,38-Cultureel Centrum,0
1620993300000,43-EGM,1
1620993300000,45-LSL,13
1620993300000,46-P E lab,39
1620993300000,50-TNW-RID,16
1620993300000,58-TNW-Zuid,93
1620993300000,60-LMS,1
1620993300000,61-Vliegtuighal,3
1620993300000,62-LR,5
1620993300000,63-Simona,0
1620993300000,64-HSL,1
1620993300000,66-Fellowship,0
1620993300000,Katalyse Labaratorium,1
1620993300000,Unknown,10
1620993300000,VLL-LAB(TNO),6
1620993600000,03-Science Center,40
1620993600000,05-TNW-BIO,2
1620993600000,08-BK-City,5
1620993600000,19-Studuitzendbureau,12
1620993600000,20-Aula,18
1620993600000,21-BTUD,155
1620993600000,22-TNW-TN,125
1620993600000,23-CITG,86
1620993600000,25-GreenVillage,25
1620993600000,26-Bouwcampus,21
1620993600000,28- WNI,3
1620993600000,30-IKC_ISD-FMVG,43
1620993600000,30-O S,1
1620993600000,31-TBM,2
1620993600000,32-OCP-IO,15
1620993600000,32a- Learninglab,0
1620993600000,33-Pulse,105
1620993600000,34-3ME,31
1620993600000,35-Drebbelweg,2
1620993600000,36-ESP-Lab,6
1620993600000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,35
1620993600000,36-EWI-HB,4
1620993600000,37-Sportcentrum,22
1620993600000,38-Cultureel Centrum,1
1620993600000,43-EGM,1
1620993600000,45-LSL,9
1620993600000,46-P E lab,41
1620993600000,50-TNW-RID,15
1620993600000,58-TNW-Zuid,92
1620993600000,60-LMS,3
1620993600000,61-Vliegtuighal,3
1620993600000,62-LR,5
1620993600000,63-Simona,0
1620993600000,64-HSL,1
1620993600000,66-Fellowship,0
1620993600000,Katalyse Labaratorium,3
1620993600000,Unknown,9
1620993600000,VLL-LAB(TNO),6
1620993900000,03-Science Center,38
1620993900000,05-TNW-BIO,2
1620993900000,08-BK-City,6
1620993900000,19-Studuitzendbureau,7
1620993900000,20-Aula,16
1620993900000,21-BTUD,168
1620993900000,22-TNW-TN,126
1620993900000,23-CITG,92
1620993900000,25-GreenVillage,25
1620993900000,26-Bouwcampus,20
1620993900000,28- WNI,3
1620993900000,30-IKC_ISD-FMVG,43
1620993900000,30-O S,0
1620993900000,31-TBM,3
1620993900000,32-OCP-IO,12
1620993900000,32a- Learninglab,0
1620993900000,33-Pulse,124
1620993900000,34-3ME,35
1620993900000,35-Drebbelweg,1
1620993900000,36-ESP-Lab,6
1620993900000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,34
1620993900000,36-EWI-HB,2
1620993900000,37-Sportcentrum,27
1620993900000,38-Cultureel Centrum,5
1620993900000,43-EGM,3
1620993900000,45-LSL,9
1620993900000,46-P E lab,44
1620993900000,50-TNW-RID,16
1620993900000,58-TNW-Zuid,93
1620993900000,60-LMS,3
1620993900000,61-Vliegtuighal,3
1620993900000,62-LR,5
1620993900000,63-Simona,0
1620993900000,64-HSL,0
1620993900000,66-Fellowship,0
1620993900000,Katalyse Labaratorium,2
1620993900000,Unknown,7
1620993900000,VLL-LAB(TNO),6
1620994200000,03-Science Center,41
1620994200000,05-TNW-BIO,1
1620994200000,08-BK-City,3
1620994200000,19-Studuitzendbureau,10
1620994200000,20-Aula,12
1620994200000,21-BTUD,188
1620994200000,22-TNW-TN,131
1620994200000,23-CITG,96
1620994200000,25-GreenVillage,25
1620994200000,26-Bouwcampus,19
1620994200000,28- WNI,3
1620994200000,30-IKC_ISD-FMVG,42
1620994200000,30-O S,1
1620994200000,31-TBM,2
1620994200000,32-OCP-IO,12
1620994200000,32a- Learninglab,0
1620994200000,33-Pulse,132
1620994200000,34-3ME,37
1620994200000,35-Drebbelweg,2
1620994200000,36-ESP-Lab,6
1620994200000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,34
1620994200000,36-EWI-HB,2
1620994200000,37-Sportcentrum,26
1620994200000,38-Cultureel Centrum,3
1620994200000,43-EGM,1
1620994200000,45-LSL,10
1620994200000,46-P E lab,39
1620994200000,50-TNW-RID,17
1620994200000,58-TNW-Zuid,95
1620994200000,60-LMS,1
1620994200000,61-Vliegtuighal,3
1620994200000,62-LR,5
1620994200000,63-Simona,0
1620994200000,64-HSL,0
1620994200000,66-Fellowship,0
1620994200000,Katalyse Labaratorium,3
1620994200000,Unknown,10
1620994200000,VLL-LAB(TNO),6
1620994500000,03-Science Center,41
1620994500000,05-TNW-BIO,1
1620994500000,08-BK-City,7
1620994500000,19-Studuitzendbureau,3
1620994500000,20-Aula,14
1620994500000,21-BTUD,206
1620994500000,22-TNW-TN,132
1620994500000,23-CITG,96
1620994500000,25-GreenVillage,25
1620994500000,26-Bouwcampus,19
1620994500000,28- WNI,3
1620994500000,30-IKC_ISD-FMVG,44
1620994500000,30-O S,0
1620994500000,31-TBM,2
1620994500000,32-OCP-IO,16
1620994500000,32a- Learninglab,0
1620994500000,33-Pulse,150
1620994500000,34-3ME,38
1620994500000,35-Drebbelweg,1
1620994500000,36-ESP-Lab,6
1620994500000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,35
1620994500000,36-EWI-HB,3
1620994500000,37-Sportcentrum,18
1620994500000,38-Cultureel Centrum,2
1620994500000,43-EGM,1
1620994500000,45-LSL,6
1620994500000,46-P E lab,38
1620994500000,50-TNW-RID,16
1620994500000,58-TNW-Zuid,94
1620994500000,60-LMS,1
1620994500000,61-Vliegtuighal,3
1620994500000,62-LR,6
1620994500000,63-Simona,0
1620994500000,64-HSL,0
1620994500000,66-Fellowship,0
1620994500000,Katalyse Labaratorium,1
1620994500000,Unknown,10
1620994500000,VLL-LAB(TNO),6
1620994800000,03-Science Center,41
1620994800000,05-TNW-BIO,2
1620994800000,08-BK-City,7
1620994800000,19-Studuitzendbureau,3
1620994800000,20-Aula,13
1620994800000,21-BTUD,224
1620994800000,22-TNW-TN,126
1620994800000,23-CITG,102
1620994800000,25-GreenVillage,25
1620994800000,26-Bouwcampus,20
1620994800000,28- WNI,4
1620994800000,30-IKC_ISD-FMVG,44
1620994800000,30-O S,0
1620994800000,31-TBM,2
1620994800000,32-OCP-IO,14
1620994800000,32a- Learninglab,0
1620994800000,33-Pulse,161
1620994800000,34-3ME,31
1620994800000,35-Drebbelweg,1
1620994800000,36-ESP-Lab,6
1620994800000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,38
1620994800000,36-EWI-HB,2
1620994800000,37-Sportcentrum,24
1620994800000,38-Cultureel Centrum,2
1620994800000,43-EGM,3
1620994800000,45-LSL,7
1620994800000,46-P E lab,37
1620994800000,50-TNW-RID,15
1620994800000,58-TNW-Zuid,92
1620994800000,60-LMS,1
1620994800000,61-Vliegtuighal,4
1620994800000,62-LR,6
1620994800000,63-Simona,0
1620994800000,64-HSL,0
1620994800000,66-Fellowship,0
1620994800000,Katalyse Labaratorium,3
1620994800000,Unknown,10
1620994800000,VLL-LAB(TNO),6
1620995100000,03-Science Center,42
1620995100000,05-TNW-BIO,1
1620995100000,08-BK-City,4
1620995100000,19-Studuitzendbureau,4
1620995100000,20-Aula,14
1620995100000,21-BTUD,229
1620995100000,22-TNW-TN,126
1620995100000,23-CITG,93
1620995100000,25-GreenVillage,26
1620995100000,26-Bouwcampus,23
1620995100000,28- WNI,3
1620995100000,30-IKC_ISD-FMVG,45
1620995100000,30-O S,0
1620995100000,31-TBM,2
1620995100000,32-OCP-IO,13
1620995100000,32a- Learninglab,0
1620995100000,33-Pulse,169
1620995100000,34-3ME,29
1620995100000,35-Drebbelweg,2
1620995100000,36-ESP-Lab,6
1620995100000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,36
1620995100000,36-EWI-HB,4
1620995100000,37-Sportcentrum,22
1620995100000,38-Cultureel Centrum,3
1620995100000,43-EGM,2
1620995100000,45-LSL,7
1620995100000,46-P E lab,42
1620995100000,50-TNW-RID,15
1620995100000,58-TNW-Zuid,90
1620995100000,60-LMS,2
1620995100000,61-Vliegtuighal,3
1620995100000,62-LR,5
1620995100000,63-Simona,0
1620995100000,64-HSL,2
1620995100000,66-Fellowship,0
1620995100000,Katalyse Labaratorium,1
1620995100000,Unknown,7
1620995100000,VLL-LAB(TNO),6
1620995400000,03-Science Center,41
